user,date,text,favorite_count,busqueda
shortvolumes,Sat Oct 17 11:18:01 +0000 2020,Short sale vol (not short interest) for $SAN on 2020-10-16 is 48%. https://t.co/ng9JXdFIv4 $BSAC 78% $BSMX 71% $BBVA 39% $ITUB 72%,0,BBVA
CTMfile,Sat Oct 17 11:05:39 +0000 2020,RT @CTMfile: Industry roundup: 16 October: #SWIFTgpi #BusinessBanking #TradeFinance @bbva @DeutscheBank @network_polo #BBVA #DeutscheBank #…,0,BBVA
angeldelmu,Sat Oct 17 10:19:56 +0000 2020,"RT @pacsta11: Top story: Hackathon BBVA 2020 - Live https://t.co/Ixh8ZGu3mz, see more https://t.co/YzHWBJmhXU",0,BBVA
pacsta11,Sat Oct 17 10:17:00 +0000 2020,"Top story: Hackathon BBVA 2020 - Live https://t.co/Ixh8ZGu3mz, see more https://t.co/YzHWBJmhXU",1,BBVA
bbvaedufin,Sat Oct 17 10:00:17 +0000 2020,📔 New study selected by #BBVAEduFin 👉🏼It’s Time to Tie Bank Profits to Customers’ Financial Health by… https://t.co/YjUFVzZ3I8,1,BBVA
alvaroortiz1968,Sat Oct 17 09:33:15 +0000 2020,Turkey´s GDP : Going and going ... Turkey´s CBRT Survey of Expectations (the most reliable) upgrade again GDP expec… https://t.co/mmKm01kfEn,12,BBVA
BenotGaudet1,Sat Oct 17 09:18:14 +0000 2020,"RT @abhibheem: #Cashaa is one of #KPMG top 50 emerging fintech company
top 3 finalists if #bbva open talent
Top 3 finalists #Maltablockchai…",0,BBVA
BBVAInnovation,Sat Oct 17 08:28:13 +0000 2020,RT @Finextra: Company announcement: Almost 800 coders will compete in BBVA 2020 hackathon https://t.co/qLJZKfy2bj #fintech,0,BBVA
jimenayolanda,Sat Oct 17 08:03:59 +0000 2020,"RT @BBVAPrensa: 🔈 The #HackathonBBVA 2020 has attracted a total of 3,544 candidates so far, of which 792 made the final cut. From Oct.16-18…",0,BBVA
MirandaMish,Sat Oct 17 07:40:56 +0000 2020,@Soyfurrr Bancomer @BBVA_Mex,0,BBVA
CamFinTechUru,Sat Oct 17 07:39:04 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summit https://t.co/VNm90lhzBk https://t.co/HNI1E2H2KY,0,BBVA
_Data_Science,Sat Oct 17 07:26:05 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summit https://t.co/DWcxYdAwMT,0,BBVA
dhfull50,Sat Oct 17 06:32:54 +0000 2020,"RT @over50panther: @Tom_Winter @LincolnsBible @ericgarland “In a 2019 DEA seizure application for BBVA accounts in Tennessee, investigators…",0,BBVA
StationDynamo,Sat Oct 17 04:17:13 +0000 2020,Wow. A lot to unpack here...so I think I’m going to hold judgement until I see a better photo but a crest change ai… https://t.co/H1Y11PfYx8,11,BBVA
cliffordanglade,Sat Oct 17 04:13:24 +0000 2020,"@MarkMeadows @FBIWFO @ScottMorrisonMP(Pt10)@Citi,@eBay,@amazon,@Twitter,@bbva,@Microsoft,@Outlook,@SocialSecurity,… https://t.co/R3oAENLHJ4",0,BBVA
GODRadio1,Sat Oct 17 04:08:37 +0000 2020,Now Playing BBVA Financial Literacy Series - BBVA Financial Literacy Series,0,BBVA
abhibheem,Sat Oct 17 04:01:33 +0000 2020,"#Cashaa is one of #KPMG top 50 emerging fintech company
top 3 finalists if #bbva open talent
Top 3 finalists… https://t.co/0pfv7nVOki",2,BBVA
LiveFree_76,Sat Oct 17 03:46:35 +0000 2020,"“In a 2019 DEA seizure application for BBVA accounts in Tennessee, investigations into a local drug gang determined… https://t.co/VZPIsSEyJN",1,BBVA
Going_Digital30,Sat Oct 17 02:27:46 +0000 2020,Almost 800 hackers will compete in BBVA Hackathon 2020 https://t.co/ZQFk8Un9tI #hackathonbbva,0,BBVA
businessnetwor5,Sat Oct 17 02:17:09 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summit #Banking via https://t.co/uXU6Z01Ol3 https://t.co/6CZmDEn5hq,0,BBVA
Bixtra,Sat Oct 17 02:12:21 +0000 2020,"RT @GODRadio1: BBVA is hosting a Virtual Debt Management Workshop on Oct 17 @11am. Check flyer for more details.
#BBVA #FinancialLiteracy #…",0,BBVA
411emilio,Sat Oct 17 01:42:25 +0000 2020,RT @bbvaOpenMind: Optical illusions have kept scientists busy trying to work out whether the key to the effect lies in our vision or in our…,0,BBVA
shortvolumes,Sat Oct 17 01:36:01 +0000 2020,Short sale volume (not short interest) for $BBD on 2020-10-16 is 53%. https://t.co/bolKnM70B7 $BCH 53% $HSBC 65% $RY 65% $BBVA 39%,0,BBVA
SantchiWeb,Sat Oct 17 01:10:53 +0000 2020,RT @ShopperMedia: BBVA’s Rueda to speak at Banking Automation Summit https://t.co/PIjI4Q7B47 https://t.co/VY8yBs3Qie,0,BBVA
ShopperMedia,Sat Oct 17 01:10:03 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summit https://t.co/PIjI4Q7B47 https://t.co/VY8yBs3Qie,0,BBVA
ann_neels,Sat Oct 17 01:09:01 +0000 2020,"RT @over50panther: @Tom_Winter @LincolnsBible @ericgarland “In a 2019 DEA seizure application for BBVA accounts in Tennessee, investigators…",0,BBVA
Lucian2drei,Sat Oct 17 00:52:11 +0000 2020,RT @Finextra: Company announcement: BBVA joins with Swift to test gpi to Faster Payments... https://t.co/HYgUwzzzZN #fintech,0,BBVA
over50panther,Sat Oct 17 00:46:03 +0000 2020,"@Tom_Winter @LincolnsBible @ericgarland “In a 2019 DEA seizure application for BBVA accounts in Tennessee, investig… https://t.co/UM8nTxTksX",5,BBVA
rhbtoday,Sat Oct 17 00:07:01 +0000 2020,"Today In Digital-First Banking: Mizuho Bank, JCB, Fujitsu Will Test Blockchain ID Tech; BBVA ... https://t.co/WALJmV9krw",0,BBVA
JobsBeaumontTX,Fri Oct 16 23:05:05 +0000 2020,JOB: Silsbee TX USA - Personal Banker / Silsbee Main Financial Solutions Consultant I - BBVA USA Californ JOBS BEAU… https://t.co/da9WbPef6w,0,BBVA
amicloudy,Fri Oct 16 23:00:10 +0000 2020,"@BBVA_USA i have wasted my entire lunch break being hung up on by the credit card department... fucking awesome guys, thanks.",0,BBVA
azatampswfc,Fri Oct 16 22:51:25 +0000 2020,@wfcpryman I would hybrid into a bundesliga or Bbva defence,0,BBVA
cliffordanglade,Fri Oct 16 22:43:16 +0000 2020,"@POTUS @robertcobrien @ScottMorrisonMP(Pt10)@Citi,@eBay,@amazon,@Twitter,@bbva,@Microsoft,@Outlook,@SocialSecurity,… https://t.co/WJ4yzg5bRj",0,BBVA
ChartMill,Fri Oct 16 21:37:02 +0000 2020,The technical rating of $BBVA.MC is bad and it also does not present a quality setup at the moment.… https://t.co/ncxG7deKOo,0,BBVA
ChartMill,Fri Oct 16 21:28:03 +0000 2020,The technical rating of $BBVA.MC is bad and it also does not present a quality setup at the moment.… https://t.co/RUgqMMHCbJ,0,BBVA
RiskyCapitalism,Fri Oct 16 21:14:46 +0000 2020,"I'm considering 

Long 1 cent &gt; daily high

$HSBC 
$BDX
$ECL 
$SAN 
$ALL
$ING
$FCAU
$HLT
$PPL
$GDRX
$BBVA 
$MT… https://t.co/v4G2zg2i6G",0,BBVA
BlancaSanjuanbe,Fri Oct 16 21:01:23 +0000 2020,RT @bbvaOpenMind: 🌱 Nature has always been a source of inspiration for human beings. The race is now on to artificially replicate the photo…,0,BBVA
lilyoshi777,Fri Oct 16 21:00:12 +0000 2020,RT @RooseveltMadeit: I like BBVA cause they instant,0,BBVA
Fernand34953952,Fri Oct 16 20:53:32 +0000 2020,RT @bbvaOpenMind: 🌱 Nature has always been a source of inspiration for human beings. The race is now on to artificially replicate the photo…,0,BBVA
jewbtastic,Fri Oct 16 20:45:36 +0000 2020,"@gnarly_rae The post office I understand, but what did the bbva do",1,BBVA
Mystic__SI,Fri Oct 16 20:44:55 +0000 2020,RT @wfootballers: LIGA BBVA ? Ozil leaves Werder Bremen | drkid.net http://ow.ly/19cZJ7,0,BBVA
GalvanHomes,Fri Oct 16 20:37:08 +0000 2020,"Stunning Luxury Rental with a gorgeous view! https://t.co/ZsZHe5HYxt
#BBVA",0,BBVA
ElWeydelaMoto,Fri Oct 16 20:02:54 +0000 2020,@BBVARe_mx @gaby_cam @bbva Gaby.... https://t.co/E09OvjrFWb,1,BBVA
bbvaOpenMind,Fri Oct 16 20:00:15 +0000 2020,🌱 Nature has always been a source of inspiration for human beings. The race is now on to artificially replicate the… https://t.co/L5EwhS5Ekk,2,BBVA
42Stocks,Fri Oct 16 19:58:13 +0000 2020,"https://t.co/WoXPkQDQMm

2020-OCT-16 3:55pm
$BBAR Banco BBVA Argentina S.A ADS up 7.44% = $87.9 million gain. At $1… https://t.co/u9e9uIKJQu",0,BBVA
