user,date,text,favorite_count,busqueda
alma_garcia2000,Sat Oct 17 20:40:11 +0000 2020,RT @jpreyes100: 👁 Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/yh072b1RyL vía @julioastillero,0,BBVA
JacalGuadarrama,Sat Oct 17 20:39:33 +0000 2020,RT @jpreyes100: 👁 Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/yh072b1RyL vía @julioastillero,0,BBVA
SergiCdV,Sat Oct 17 20:39:33 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
nathalyeherrera,Sat Oct 17 20:39:24 +0000 2020,"@BBVA_Colombia Esta es la ÚNICA acción qué hacen, quien va a pagar los intereses y mora? PÉSIMO SERVICIO NO HACEN NAFA SOLO PIDEN DISCULPAS",0,BBVA
ramonfermu,Sat Oct 17 20:39:24 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
mishabuki,Sat Oct 17 20:38:46 +0000 2020,Prefiero guardar mi dinero debajo del colchón que en el @bbva me robaron de mi cuenta y llevan un mes y no me dan solución el colmo,0,BBVA
HardyHawie,Sat Oct 17 20:37:33 +0000 2020,RT @Moda_Suburbia: Las posibilidades de ganarte una camioneta Renault por nuestro #50Aniversario son tuyas y cuando pagas con tu tarjeta Su…,0,BBVA
ManuelSolisVaz2,Sat Oct 17 20:37:16 +0000 2020,RT @jpreyes100: 👁 Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/yh072b1RyL vía @julioastillero,0,BBVA
Moda_Suburbia,Sat Oct 17 20:36:42 +0000 2020,Las posibilidades de ganarte una camioneta Renault por nuestro #50Aniversario son tuyas y cuando pagas con tu tarje… https://t.co/RKEgKtqJKL,2,BBVA
EnPuercos,Sat Oct 17 20:36:34 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
BBVARe_mx,Sat Oct 17 20:35:11 +0000 2020,"@ferchivx Hola, buenas tardes. Te atiende Daniela, un gusto saludarte. Estamos interesados en ayudar, ¿nos puedes c… https://t.co/66cGKwNQm7",0,BBVA
letydcn,Sat Oct 17 20:35:08 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
bbva_peru,Sat Oct 17 20:34:38 +0000 2020,"@hermiliodiaz Hola, el mensaje que nos compartes es fraudulento el BBVA no solicita el ingreso de tus datos y clave… https://t.co/V5BhVvJPYT",1,BBVA
Henryviny,Sat Oct 17 20:34:27 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
nucita0428,Sat Oct 17 20:34:26 +0000 2020,RT @victor_abrego: @mario_dico50 por desgracia las bases de datos de los bancos son publicas de manera que cualquiera te marca te dice dato…,0,BBVA
ANewDisaster_,Sat Oct 17 20:34:09 +0000 2020,"RT @GIEDSOCE: A estas horas estaría ebrio pidiendo Adelanto Sueldo del BBVA para pedir otra ronda más de venenos en Tizon, csm.",0,BBVA
sam_rsam,Sat Oct 17 20:34:02 +0000 2020,RT @jpreyes100: 👁 Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/yh072b1RyL vía @julioastillero,0,BBVA
Godzilandiando,Sat Oct 17 20:33:23 +0000 2020,RT @jpreyes100: 👁 Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/yh072b1RyL vía @julioastillero,0,BBVA
xxiperiodismo,Sat Oct 17 20:32:40 +0000 2020,RT @jpreyes100: 👁 Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/yh072b1RyL vía @julioastillero,0,BBVA
paco229,Sat Oct 17 20:32:36 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
hermiliodiaz,Sat Oct 17 20:32:22 +0000 2020,"@bbva_peru @PoliciaPeru
¡Alerta!. Supuestos mensajes del BBVA solicitan: Actualizar información personal. https://t.co/qRSTSxZ3Xc",0,BBVA
ArmandoOrozcoG4,Sat Oct 17 20:32:09 +0000 2020,"RT @Rayados: ⚽| ¡Hoy regresa nuestro Monterrey a Casa! ¡Hoy y siempre lo jugamos todos Juntos! 💪🏼

⌚️ 17:06 hrs.
🏟 BBVA
📺 @FoxSportsMx
🇺🇸 @…",0,BBVA
enriqueaayala,Sat Oct 17 20:32:03 +0000 2020,RT @LaBes7ia: Así se ve el BBVA desde el 101217,0,BBVA
julioastillero,Sat Oct 17 20:31:45 +0000 2020,RT @jpreyes100: 👁 Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/yh072b1RyL vía @julioastillero,0,BBVA
chelitroski,Sat Oct 17 20:31:12 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
robinson_rg2,Sat Oct 17 20:31:10 +0000 2020,"RT @EstulinDaniel: 🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más qu…",0,BBVA
vicky_5667_,Sat Oct 17 20:30:30 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
carlosh1403,Sat Oct 17 20:28:31 +0000 2020,"@JFCadavid Hola , échale un miradita al partido de Luis Díaz y mateus Uribe  con el @FCPorto no todo es premier , la BBVA y calcio ..",0,BBVA
anuarxD,Sat Oct 17 20:28:16 +0000 2020,"RT @BBVAInnovation: Bienvenidos al día 2 del #HackathonBBVA 💙 iniciamos con nuestro mentor Diego de Granda Google Developer Expert, que nos…",0,BBVA
jpreyes100,Sat Oct 17 20:27:52 +0000 2020,👁 Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/yh072b1RyL vía @julioastillero,16,BBVA
flugerdragon,Sat Oct 17 20:27:51 +0000 2020,"RT @BBVAProvincial: ¡En BBVA Provincial estamos de aniversario! Cumplimos 67 años,  celebramos que seguimos apostando y creando oportunidad…",0,BBVA
papabichoraro,Sat Oct 17 20:27:21 +0000 2020,@BBVA_Colombia hace más de 2 semanas que no paráis de enviarme mails con datos de otras personas... Os lo he report… https://t.co/rZQkIGT7dZ,0,BBVA
vic_canto,Sat Oct 17 20:27:09 +0000 2020,"@PabVis @JonInarritu tengo que cojerme una roca de colombia, el @bbva me contrata y prinmios ... y vestirme de pica… https://t.co/f2AN7Xeb8s",0,BBVA
magikal__trevor,Sat Oct 17 20:26:36 +0000 2020,"RT @Rayados: ⚽| ¡Hoy regresa nuestro Monterrey a Casa! ¡Hoy y siempre lo jugamos todos Juntos! 💪🏼

⌚️ 17:06 hrs.
🏟 BBVA
📺 @FoxSportsMx
🇺🇸 @…",0,BBVA
samtf19,Sat Oct 17 20:26:32 +0000 2020,"RT @NARIZROJAAC: Hoy la meta es llegar a $200,00 pesos nos faltan $79,475.00 pesos !! Todos los pedacitos de ❤️ salvarán muchas vidas de ni…",0,BBVA
Ampa591,Sat Oct 17 20:25:53 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
AzinDav,Sat Oct 17 20:25:53 +0000 2020,"@bbva me llegó una promoción por teléfono para comprar con puntos en suburbia, hice la compra y en lugar de descont… https://t.co/AvCF0y2xs0",0,BBVA
CaroMuntanya,Sat Oct 17 20:25:30 +0000 2020,Como le hago entender al @BBVA_Colombia que lo que deseo es que me perdone la deuda? 🤔 https://t.co/brw9T9I8wM,0,BBVA
AdrianHeiten,Sat Oct 17 20:25:28 +0000 2020,"@Moda_Suburbia El día de hoy tienen una promoción de puntos dobles en Bbva.
Quien hizo el cobro lo hizo dos veces.… https://t.co/qT0cgfEOMP",0,BBVA
pepi_ens,Sat Oct 17 20:24:37 +0000 2020,"@alonsoescareno @BBVARe_mx @BBVA_Mex Pues el 14 de septiembre hice un depósito de $10,000 pesos en una practicaja y… https://t.co/aVCrlWzsj6",0,BBVA
