,user,date,text,favorite_count,busqueda
29,Pedro_V_H,Sat Oct 17 14:17:17 +0000 2020,"RT @RicardoAlemanMx: «APOYOS» DE BBVA DURANTE LA PANDEMIA LE COSTARON 15 MILLONES DE PESOS A UNA FAMILIA
Vía @ContrapesoC 
▶️ https://t.co/…",0,busqueda
30,ansossa,Sat Oct 17 14:17:13 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
31,alvarolayedra,Sat Oct 17 14:17:06 +0000 2020,"RT @RTouzaDavid: [Vídeo] En este vídeo podrás ver como se puede aplicar la metodología #LeanStartup en las #empresas, para un evento que se…",0,busqueda
32,SergioIbaezGar1,Sat Oct 17 14:17:05 +0000 2020,"@dhgcorrecaminos @bbva A mi,por cambiar monedas de 2e,y ingresarlas en mi cuenta,12,60e 
Son unos chorizos.",0,busqueda
33,Lanesttosa,Sat Oct 17 14:16:36 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
34,MartnChab3,Sat Oct 17 14:16:01 +0000 2020,"RT @LigaBBVAMX: #AgendaFutbolística 📆 #Jornada14

@Rayados 🆚 @ClubPueblaMX

📆 Sábado 17 de Octubre
🕞 17:06
🏟️ BBVA
📺 @FoxSportsMX

#Guard1a…",0,busqueda
35,LaraPym,Sat Oct 17 14:15:18 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
36,RTouzaDavid,Sat Oct 17 14:15:17 +0000 2020,"[Vídeo] En este vídeo podrás ver como se puede aplicar la metodología #LeanStartup en las #empresas, para un evento… https://t.co/dkiXyoYZkg",0,busqueda
37,johebl,Sat Oct 17 14:15:02 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
38,attearturo,Sat Oct 17 14:14:53 +0000 2020,En @BBVA_Mex obligado con mis biométricos. En @BBVA_Colombia obligado con ir al cajero así sea un proceso digital.… https://t.co/791rsv5r6E,0,busqueda
39,cristinaguerr22,Sat Oct 17 14:14:15 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
40,20campy,Sat Oct 17 14:12:57 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
41,MiguelS41260559,Sat Oct 17 14:12:00 +0000 2020,"RT @NARIZROJAAC: El Segundo Round es por los niños de Puebla 
Meta: $450,0000 
Con lo recaudado se donará medicamento para los niños que  s…",0,busqueda
42,NoticiasNotifan,Sat Oct 17 14:10:30 +0000 2020,Celta de Vigo 0 - 1 Atlético de Madrid - Liga BBVA 2020/21 - Fecha 6  - Gol de  Luis Suárez https://t.co/DIxcYGfyx4,0,busqueda
43,ElliotSisepuede,Sat Oct 17 14:10:28 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
44,JonrocTrias,Sat Oct 17 14:09:58 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
45,martin_berher,Sat Oct 17 14:09:50 +0000 2020,RT @julioastillero: Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/JvS3N2may1 a través de @juli…,0,busqueda
46,Chiruvigo,Sat Oct 17 14:09:46 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
47,lalowildc,Sat Oct 17 14:07:36 +0000 2020,Con la novedad que hoy SABADO ME DESPERTÓ una llamada a mi CASA de una grabación de @BBVA_Mex diciendo que por un a… https://t.co/80iiDantBB,0,busqueda
48,eduardoriverosq,Sat Oct 17 14:06:41 +0000 2020,"RT @bbvaOpenMind: Hoy hace 86 años que falleció Santiago Ramón y Cajal. 🗓 Su ""doctrina de la neurona"", fue el punto de partida de la neuroc…",0,busqueda
49,DirckBenedict,Sat Oct 17 14:06:27 +0000 2020,"@bbva_peru @HenrryVillar Si, la clásica el Community se hace el bueno para decir q están preocupados pero no pueden… https://t.co/89v1DmAzI8",1,busqueda
50,jp_economics,Sat Oct 17 14:04:23 +0000 2020,"RT @bbvaOpenMind: Hoy hace 86 años que falleció Santiago Ramón y Cajal. 🗓 Su ""doctrina de la neurona"", fue el punto de partida de la neuroc…",0,busqueda
51,ojbaeza,Sat Oct 17 14:03:43 +0000 2020,"La @bbva Aqua me llama mucho, pero no puedo vincularme por tener la hipoteca en @santander_es, así que no es una op… https://t.co/jFtAMzLh0r",0,busqueda
52,_Hurtad02,Sat Oct 17 14:03:42 +0000 2020,Que máquina Yangel sh. Otro golazo más en Liga BBVA,0,busqueda
53,andybrishs,Sat Oct 17 14:03:41 +0000 2020,"@Monikhin @lilisierram78 @andres9910 @walo1989_1 Muy buenos días amigos, hoy juega Rayados vs Puebla en el BBVA a l… https://t.co/LNyfTWUaHN",1,busqueda
54,Teymenfer,Sat Oct 17 14:02:58 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
55,amaiaftpablo,Sat Oct 17 14:02:48 +0000 2020,@donthugmetinet jaja vuelve jaja mira el bbva donde quedamos!!!!! https://t.co/kb1kL9D52e,0,busqueda
56,EmiliadeCarinho,Sat Oct 17 14:02:36 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
57,vicmanfr,Sat Oct 17 14:02:23 +0000 2020,@BBVA_Mex Gracias por el Tip #bbvasiempreunpasoadelante,0,busqueda
58,Mateo_Roz,Sat Oct 17 14:02:16 +0000 2020,@BBVA_Mex @BBVARe_mx ¡Son los mejores! ❤️,0,busqueda
59,eleciones2016,Sat Oct 17 14:02:15 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
60,LigaBBVAMX,Sat Oct 17 14:01:24 +0000 2020,"#AgendaFutbolística 📆 #Jornada14

@Rayados 🆚 @ClubPueblaMX

📆 Sábado 17 de Octubre
🕞 17:06
🏟️ BBVA
📺 @FoxSportsMX… https://t.co/mcwxhmU0K2",6,busqueda
61,aandreva,Sat Oct 17 14:01:11 +0000 2020,@zuzialonso @Soyfurrr @ContactoCitibmx Siiiii evita Banamex es un pedo desde julio no me resuelven. No lo hagas!!!! Vete con bbva,0,busqueda
62,DocsMX,Sat Oct 17 14:01:00 +0000 2020,Vota por tu proyecto favorito de #RetoDocs 2020 a partir de hoy sábado 17 y hasta el viernes 23 de octubre y ¡decid… https://t.co/KhsqbShwPw,2,busqueda
63,Daniela_Ram_Ram,Sat Oct 17 14:00:46 +0000 2020,@BBVA_Mex HOLA!!,0,busqueda
64,Puntodeinflexi4,Sat Oct 17 14:00:11 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
65,praldo_,Sat Oct 17 14:00:09 +0000 2020,"Muchas gracias @BBVA_Mex , espero mi regalo de 16mil pesos más iva 🥰 https://t.co/rEbB7JVyDN",0,busqueda
66,AGLmexico,Sat Oct 17 13:59:46 +0000 2020,RT @bbva: ¡La nueva tarjeta Aqua de #BBVA ya está aquí! 🙌 ¿Cuál es su novedad? 🤔 No tiene impreso el número de la tarjeta ni la fecha de ca…,0,busqueda
67,MarceMontalv,Sat Oct 17 13:58:25 +0000 2020,"RT @CadilloMi: @knightDayNight @julioastillero @SantanderMx @BBVA_Mex atiendan x favor , @AnaBotin manda pedir a Grisi que vean la segurida…",0,busqueda
68,maicirtap24,Sat Oct 17 13:57:11 +0000 2020,"Wtf @bbva como que me cobras comisión por sacar dinero de TU banco, con MI tarjeta (de tu banco), en TUS cajeros!?!… https://t.co/rJQlk1GQMJ",0,busqueda
69,DavidGarciaG_OR,Sat Oct 17 13:56:59 +0000 2020,RT @Metalepsframe: #4siglos de #evolución estructural y #revolución técnica #marca y #mercado para la #arquitectura y #edificación y #4sigl…,0,busqueda
70,jcobarba,Sat Oct 17 13:56:57 +0000 2020,Una vergüenza @LigaBBVAMX y una vergüenza que uds como empresa @BBVA_Mex promocionen a esa liga 🦠🦠🦠🦠🦠🦠🦠🦠🦠🦠🦠🦠 https://t.co/Ehy7eqrqUc,0,busqueda
71,Eduardo89384848,Sat Oct 17 13:56:26 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
72,MRosagarciag,Sat Oct 17 13:56:14 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
73,JusticiaPuta,Sat Oct 17 13:55:00 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
74,JuanMZrgz,Sat Oct 17 13:54:59 +0000 2020,"RT @dhgcorrecaminos: Pues habrá q ir buscando otro banco, a mi m da igual, pero x ejemplo mi madre no sabe manejar un cajero y no le vais a…",0,busqueda
75,FranciscoSancle,Sat Oct 17 13:53:44 +0000 2020,"RT @FranciscoSancle: Soy un aspirante, aunque a veces gane.
@MaratonCDMX
@Grupo_Argos
@BBVA_Colombia
#FelizMartes https://t.co/wyrUNU0FuZ",0,busqueda
76,m_piluki,Sat Oct 17 13:52:41 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
77,escaparcc,Sat Oct 17 13:52:37 +0000 2020,"Y tamb acotar que así teniendo cuenta en BBVA(mande solicitud y no tuve ni respuesta) y BCP (dieron bola, pero solo me pasearon)",0,busqueda
78,Fernand34953952,Sat Oct 17 13:50:08 +0000 2020,RT @bbvaOpenMind: La economía digital está modificando las destrezas que necesitan tener los trabajadores 👷🏾‍♀️ 👨🏼‍🏭 y puede generar un des…,0,busqueda
79,marisabelcresp1,Sat Oct 17 13:48:43 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
80,ojbaeza,Sat Oct 17 13:48:01 +0000 2020,"Ojalá @openbank_es actualizará su aplicación a algo más «moderno», añadiera huchas digitales y sacara una tarjeta c… https://t.co/v0DITlEG7J",0,busqueda
81,telemaco31,Sat Oct 17 13:47:18 +0000 2020,@Xaguzar2 Hay más bancos que el BBVA ...,0,busqueda
82,Akaman60,Sat Oct 17 13:47:17 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
83,telemaco31,Sat Oct 17 13:46:37 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
84,FisgonLuis,Sat Oct 17 13:46:34 +0000 2020,"@paolobenza BBVA ES UNA MIERDA DE BANCO
INTERESES POR LAS NUBES .. JODANSE",0,busqueda
85,Anna77548272,Sat Oct 17 13:46:02 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
86,lugar20092,Sat Oct 17 13:45:38 +0000 2020,@josuepp24 @BellanoLibertad @MavilaHuertasC @elcomercio_peru La investigación fiscal hará la reconstrucción en el B… https://t.co/MotDfOnkqC,0,busqueda
87,MaiLuaces,Sat Oct 17 13:45:19 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
88,soyuncylon,Sat Oct 17 13:44:55 +0000 2020,@BBVA_Mex ¿si no les doy mis datos biométricos no podré volver a usar su app?,0,busqueda
89,CristinaLealGa1,Sat Oct 17 13:44:53 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
90,fjavierd,Sat Oct 17 13:44:50 +0000 2020,"RT @PugTrader: $BBVA en una década ha perdido el 85% de su capitalización,  ya vale casi igual que Femsa $FMX #TRMX https://t.co/jWEC96HEzR",0,busqueda
91,Bienferlo,Sat Oct 17 13:43:40 +0000 2020,RT @trivino_moya: @JuliaBayo1 @lenilua63 @agarzon Aprovecho para decir que @bbva va a cobrar a sus clientes dis euros por sacar dinero en v…,0,busqueda
92,mapriego_,Sat Oct 17 13:42:13 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
93,JossephMorales1,Sat Oct 17 13:41:44 +0000 2020,"RT @MichDiaz_: Llevo más de una semana sin poder acceder a mi cuenta @BBVA_Mex
Bajo ningún motivo pienso ""registrar"" mi rostro en su sistem…",0,busqueda
94,bbva_peru,Sat Oct 17 13:41:39 +0000 2020,"@HenrryVillar Hola, gracias por escribirnos. ¡Saludos!",0,busqueda
95,chakie51,Sat Oct 17 13:41:07 +0000 2020,RT @trivino_moya: @JuliaBayo1 @lenilua63 @agarzon Aprovecho para decir que @bbva va a cobrar a sus clientes dis euros por sacar dinero en v…,0,busqueda
96,malulose,Sat Oct 17 13:40:35 +0000 2020,@Banorte tambien  https://t.co/8xaU6zxTvI,0,busqueda
97,GARH777,Sat Oct 17 13:40:28 +0000 2020,RT @julioastillero: Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/JvS3N2may1 a través de @juli…,0,busqueda
98,DanielMulfordSt,Sat Oct 17 13:39:57 +0000 2020,"Guardaré este tweet
Sábado 7:38 am

Vamos a ver a qué horas y qué día me llaman @BBVA_Colombia  🤡 https://t.co/L47U7YxHU8",0,busqueda
